epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
126,1370.21,0.82375,0.42746,0.89747,0.86926,0.83348,0.86253,0.6052,0.87384,0.41274,0.87159,0.000250075,0.000250075,0.000250075
127,1381.18,0.84897,0.44361,0.90668,0.89232,0.80804,0.86751,0.61242,0.8715,0.40806,0.87048,0.000240644,0.000240644,0.000240644
128,1392.09,0.82059,0.43435,0.89645,0.93062,0.78721,0.86234,0.59985,0.88699,0.41752,0.88117,0.000231212,0.000231212,0.000231212
129,1403.19,0.83255,0.44161,0.90032,0.91995,0.81323,0.8725,0.61242,0.88282,0.41351,0.88381,0.000221781,0.000221781,0.000221781
130,1414.17,0.80692,0.42723,0.8929,0.89999,0.79488,0.86122,0.60634,0.88107,0.41203,0.88253,0.000212349,0.000212349,0.000212349
131,1425.12,0.82733,0.42839,0.9055,0.87643,0.80748,0.86066,0.60279,0.88,0.41023,0.88636,0.000202918,0.000202918,0.000202918
132,1436.02,0.85247,0.44207,0.89384,0.85439,0.80737,0.85186,0.60552,0.8775,0.41252,0.8816,0.000193487,0.000193487,0.000193487
133,1446.99,0.79161,0.41225,0.89526,0.86753,0.8142,0.86312,0.60771,0.87365,0.42358,0.87903,0.000184055,0.000184055,0.000184055
134,1457.84,0.79248,0.40875,0.88463,0.9019,0.79564,0.85472,0.6048,0.8752,0.4271,0.87903,0.000174624,0.000174624,0.000174624
135,1468.92,0.84558,0.43572,0.89848,0.86792,0.77957,0.84271,0.59288,0.86984,0.41933,0.87515,0.000165192,0.000165192,0.000165192
136,1479.75,0.8069,0.42447,0.89231,0.91846,0.77133,0.85171,0.60016,0.88546,0.43353,0.88472,0.000155761,0.000155761,0.000155761
137,1490.64,0.79693,0.41014,0.89924,0.93348,0.76673,0.84602,0.60307,0.86315,0.42677,0.87632,0.00014633,0.00014633,0.00014633
138,1501.55,0.83931,0.43271,0.89593,0.92676,0.77558,0.85837,0.60878,0.86929,0.42419,0.87606,0.000136898,0.000136898,0.000136898
139,1512.31,0.84859,0.44456,0.89058,0.91001,0.79238,0.86023,0.60892,0.87761,0.43123,0.88011,0.000127467,0.000127467,0.000127467
140,1523.27,0.80808,0.42074,0.89474,0.93707,0.77046,0.85877,0.60726,0.87772,0.42301,0.8789,0.000118035,0.000118035,0.000118035
141,1536.01,0.77285,0.3815,0.87691,0.84774,0.80357,0.85578,0.6047,0.87192,0.42336,0.87809,0.000108604,0.000108604,0.000108604
142,1546.49,0.76775,0.37518,0.87698,0.92084,0.75714,0.85637,0.5968,0.87675,0.419,0.87936,9.91726e-05,9.91726e-05,9.91726e-05
143,1557.17,0.78532,0.38193,0.87191,0.91792,0.75967,0.84997,0.59809,0.87046,0.4184,0.87759,8.97412e-05,8.97412e-05,8.97412e-05
144,1567.57,0.75736,0.36765,0.86908,0.89252,0.77794,0.8507,0.60179,0.87102,0.42524,0.87713,8.03098e-05,8.03098e-05,8.03098e-05
145,1578.45,0.73412,0.35176,0.86082,0.90458,0.77557,0.8559,0.60662,0.87019,0.41885,0.87703,7.08784e-05,7.08784e-05,7.08784e-05
146,1588.9,0.76155,0.36979,0.86753,0.9281,0.7636,0.84933,0.60107,0.87752,0.4314,0.87972,6.1447e-05,6.1447e-05,6.1447e-05
147,1599.47,0.77474,0.36942,0.86577,0.93633,0.76973,0.85664,0.60298,0.87436,0.418,0.87745,5.20156e-05,5.20156e-05,5.20156e-05
148,1609.86,0.71679,0.34339,0.87566,0.93088,0.76676,0.85654,0.60917,0.87327,0.41327,0.87709,4.25842e-05,4.25842e-05,4.25842e-05
149,1620.46,0.76374,0.36641,0.87864,0.95233,0.75627,0.85503,0.60584,0.87697,0.41081,0.8788,3.31528e-05,3.31528e-05,3.31528e-05
150,1631.12,0.74805,0.36843,0.86658,0.94996,0.76606,0.85639,0.6084,0.87302,0.41067,0.87809,2.37214e-05,2.37214e-05,2.37214e-05
